홈승,무승부,원정승,종료홈배당,종료무배당,종료원정배당,결과
2.05,3.4,3.85,2.05,3.4,4.0, 0-0 
1.9,3.85,3.8,1.75,3.9,4.45, 4-0 
2.25,3.65,3.05,2.17,3.75,3.15, 2-0 
2.2,3.65,3.1,2.1,3.65,3.35, 1-2 
2.2,3.95,2.95,2.4,4.05,2.75, 3-1 
2.2,3.35,3.45,2.1,3.45,3.55, 2-0 
1.88,4.3,3.5,1.88,4.2,3.6, 2-0 
1.83,3.85,4.0,2.0,3.6,3.8, 1-3 
2.8,3.75,2.35,2.6,3.8,2.5, 1-2 
2.95,3.45,2.4,3.7,3.5,2.05, 1-5 
2.2,3.75,3.0,2.35,3.8,2.8, 1-1 
2.5,3.45,2.8,2.35,3.4,3.05, 4-2 
2.9,3.75,2.25,2.85,3.75,2.35, 2-2 
2.5,3.8,2.55,2.45,3.75,2.65, 1-1 
5.9,4.7,1.5,6.9,5.1,1.42, 0-1 
2.4,3.35,2.95,2.35,3.25,3.15, 2-2 
1.48,4.9,5.9,1.53,4.6,5.7, 1-1 
2.75,3.35,2.6,3.1,3.4,2.3, 1-1 
1.65,3.85,5.2,1.65,3.8,5.6, 2-1 
2.08,3.6,3.45,2.15,3.4,3.45, 0-3 
1.6,4.1,5.7,1.55,4.4,6.0, 3-1 
5.2,4.4,1.6,5.0,4.3,1.68, 1-0 
1.47,5.1,5.8,1.57,4.9,5.5, 1-3 
2.25,3.3,3.35,2.2,3.35,3.4, 3-0 
1.5,4.1,7.5,1.57,3.95,6.4, 1-1 
1.19,6.8,16.0,1.17,8.5,18.0, 5-1 
2.35,3.7,2.8,2.5,3.6,2.7, 2-1 
1.85,3.7,4.15,1.8,4.0,4.5, 1-2 
2.2,3.2,3.55,1.95,3.25,4.4, 0-0 
7.5,4.2,1.47,8.5,4.7,1.4, 0-5 
2.13,3.45,3.4,1.9,3.65,4.1, 1-2 
2.45,3.6,2.75,2.6,3.5,2.65, 3-1 
1.22,6.6,12.0,1.22,7.5,11.0, 3-1 
2.05,3.5,3.6,2.05,3.45,3.7, 2-1 
1.85,3.85,3.95,1.9,4.0,3.65, 0-0 
1.4,5.0,7.4,1.35,5.6,7.8, 2-2 
5.8,4.4,1.55,7.1,4.8,1.43, 1-1 
1.93,3.4,4.1,2.1,3.25,3.75, 1-1 
2.5,3.6,2.7,2.85,3.45,2.45, 1-4 
1.38,4.9,8.5,1.48,4.8,6.8, 3-0 
1.33,5.6,8.5,1.5,4.5,6.5, 1-0 
5.6,4.4,1.55,5.0,4.15,1.65, 1-3 
7.9,5.8,1.33,6.5,5.0,1.45, 0-3 
2.4,3.35,2.95,2.05,3.5,3.6, 3-1 
3.4,3.6,2.1,3.25,3.6,2.2, 1-0 
1.45,5.2,6.3,1.35,5.7,7.7, 2-2 
7.7,5.3,1.37,8.5,5.5,1.33, 1-2 
3.8,3.55,2.0,4.0,3.6,1.95, 0-1 
2.35,3.35,3.1,2.2,3.5,3.5, 0-0 
1.45,4.2,7.8,1.48,4.4,7.7, 2-2 
5.4,3.85,1.67,5.55,3.75,1.72, 4-1 
1.38,5.5,7.1,1.38,5.55,7.77, 0-0 
2.1,3.5,3.5,2.15,3.4,3.6, 1-1 
1.45,4.7,7.3,1.4,5.0,8.5, 1-0 
3.7,3.8,1.95,3.6,3.8,2.05, 3-1 
4.15,3.75,1.85,3.4,3.5,2.13, 1-1 
1.5,4.5,6.5,1.5,4.5,6.5, 2-0 
1.63,4.2,5.1,1.48,5.0,7.0, 2-1 
3.8,4.3,1.82,3.95,4.15,1.8, 1-1 
2.05,3.2,4.0,2.25,2.95,3.7, 0-1 
2.9,3.55,2.35,3.1,3.4,2.35, 3-3 
3.3,3.0,2.45,3.2,3.0,2.5, 1-0 
1.6,4.3,5.2,1.72,4.0,5.0, 4-1 
3.1,3.25,2.4,3.25,3.25,2.35, 2-0 
3.55,3.8,2.0,3.9,3.9,1.9, 2-2 
2.35,3.25,3.1,2.5,3.1,3.05, 0-4 
2.7,3.45,2.55,2.9,3.3,2.5, 3-2 
2.2,3.8,2.95,2.1,3.85,3.25, 2-0 
3.25,4.0,2.0,3.85,4.3,1.8, 3-0 
1.17,8.0,14.0,1.25,6.6,10.5, 2-2 
2.35,3.85,2.75,2.3,3.95,2.75, 2-1 
7.1,6.0,1.35,6.0,5.5,1.43, 1-2 
1.65,4.7,4.4,1.6,4.6,4.7, 4-2 
1.6,4.7,4.8,1.53,4.7,5.5, 1-1 
1.43,4.7,7.1,1.45,4.7,6.7, 1-0 
1.35,5.5,7.8,1.3,6.2,8.5, 1-2 
2.1,3.45,3.6,2.2,3.4,3.5, 2-1 
2.85,3.4,2.45,2.9,3.45,2.45, 1-2 
1.83,3.85,4.1,1.9,4.0,4.0, 3-2 
1.9,3.85,3.8,1.73,4.3,4.2, 2-1 
2.15,3.45,3.4,2.13,3.45,3.45, 2-0 
1.12,8.5,26.0,1.15,7.7,21.0, 3-0 
1.45,4.7,6.8,1.45,4.8,7.0, 2-1 
1.57,4.6,5.2,1.67,4.6,4.3, 3-0 
1.38,5.3,7.6,1.35,5.5,8.5, 1-2 
2.35,3.5,3.0,2.35,3.5,2.95, 2-3 
2.07,3.85,3.3,1.98,3.8,3.6, 2-0 
5.0,4.2,1.65,4.3,4.1,1.75, 1-1 
2.25,3.6,3.05,2.1,3.9,3.2, 1-1 
1.68,3.9,5.0,1.9,3.6,4.05, 1-1 
3.4,3.4,2.15,3.95,3.5,1.97, 2-2 
2.45,3.2,3.0,2.25,3.25,3.4, 0-1 
1.37,5.3,7.7,1.34,5.5,8.3, 5-0 
2.05,3.8,3.35,1.9,4.0,3.65, 2-1 
4.2,4.1,1.75,3.3,3.5,2.17, 1-0 
2.85,3.7,2.35,2.9,3.75,2.3, 1-1 
1.7,4.1,4.7,1.63,4.15,5.2, 1-1 
1.5,4.4,6.3,1.58,4.2,5.7, 1-0 
2.7,3.9,2.35,2.7,3.9,2.35, 1-4 
1.9,4.05,3.65,2.13,3.9,3.15, 2-1 
1.53,4.6,5.7,1.55,4.8,5.8, 2-1 
6.2,5.1,1.45,6.3,5.0,1.48, 4-4 
1.23,6.3,13.0,1.25,6.4,12.0, 3-2 
